timestamp,best_bid,best_ask,bid_volume,ask_volume,mid_price,spread,last_trade_price,last_trade_volume
1774352388124,2171.41,2171.42,8.07,1.674,2171.415,0.010000000000218279,2171.29,0.00945599
1774352398141,2171.9,2172.33,3.326,1.322,2172.115,0.4299999999998363,2171.29,0.00945599
1774352408199,2170.95,2171.21,0.734,0.588,2171.08,0.2600000000002183,2170.92,1.63125092
1774352418200,2171.1,2171.11,13.878,13.457,2171.105,0.010000000000218279,2171.1,0.02455841
1774352428170,2171.1,2171.11,16.198,3.184,2171.105,0.010000000000218279,2171.1,0.5
1774352438273,2171.4,2171.8,9.058,6.962,2171.6000000000004,0.40000000000009095,2172.0,1.74134019
1774352448180,2171.81,2171.82,2.469,0.02,2171.815,0.010000000000218279,2171.74,0.09378871
1774352458190,2172.22,2172.44,0.181,0.001,2172.33,0.22000000000025466,2171.74,0.09378871
1774352468298,2172.44,2172.5,0.047,0.02,2172.4700000000003,0.05999999999994543,2172.93,0.00192055
1774352478219,2172.82,2172.94,0.536,0.003,2172.88,0.11999999999989086,2172.43,0.004692
1774352488209,2172.81,2172.94,2.348,0.003,2172.875,0.13000000000010914,2173.81,0.00056853
1774352498215,2173.26,2173.47,0.154,1.674,2173.365,0.20999999999958163,2173.34,0.00223521
1774352508230,2173.42,2173.67,11.27,0.734,2173.545,0.25,2173.65,0.00163763
1774352518228,2173.65,2173.66,11.441,0.019,2173.6549999999997,0.009999999999763531,2173.65,0.00163763
1774352528302,2172.56,2172.57,18.4,2.205,2172.565,0.010000000000218279,2172.58,0.02208529
1774352538494,2172.05,2172.3,0.495,1.674,2172.175,0.25,2172.01,0.0168132
1774352548361,2172.0,2172.01,10.976,0.004,2172.005,0.010000000000218279,2172.49,0.67769323
1774352558306,2172.18,2172.39,3.715,0.161,2172.285,0.21000000000003638,2172.25,0.01191389
1774352568271,2174.5,2174.86,0.687,0.588,2174.6800000000003,0.36000000000012733,2174.85,0.00459
1774352578293,2174.18,2174.21,2.374,1.674,2174.1949999999997,0.03000000000020009,2174.27,0.01704546
1774352588309,2173.55,2173.62,2.898,1.674,2173.585,0.06999999999970896,2174.15,0.00517525
1774352598322,2173.73,2173.74,104.02,0.001,2173.7349999999997,0.009999999999763531,2174.15,0.00517525
1774352612651,2174.36,2174.55,0.151,0.588,2174.455,0.19000000000005457,2174.33,0.00311288
1774352618310,2173.97,2174.17,0.734,1.674,2174.0699999999997,0.20000000000027285,2174.33,0.00311288
1774352628344,2173.08,2173.09,2.301,0.002,2173.085,0.010000000000218279,2174.33,0.00311288
1774352638381,2172.97,2172.98,11.486,0.002,2172.975,0.010000000000218279,2172.98,0.00129065
1774352648415,2173.28,2173.29,11.745,2.761,2173.285,0.009999999999763531,2172.98,0.00129065
1774352668170,2172.0,2172.01,0.087,3.494,2172.005,0.010000000000218279,2172.0,0.07377514
1774352669402,2171.57,2171.58,26.818,1.675,2171.575,0.009999999999763531,2172.0,0.07377514
1774352679546,2171.46,2171.47,10.361,1.675,2171.465,0.009999999999763531,2171.54,0.00498455
1774352689538,2171.3,2171.44,10.5,1.674,2171.37,0.13999999999987267,2171.54,0.00498455
1774352701930,2171.17,2171.38,1.218,0.154,2171.275,0.21000000000003638,2171.17,0.93740328
1774352709651,2171.1,2171.11,24.353,2.289,2171.105,0.010000000000218279,2171.17,0.93740328
1774352719633,2169.8,2169.96,12.175,1.674,2169.88,0.15999999999985448,2171.1,10.10584858
1774352729547,2170.21,2170.22,17.368,0.841,2170.215,0.009999999999763531,2170.22,0.84031259
1774352739548,2171.41,2171.76,1.734,1.674,2171.585,0.3500000000003638,2171.38,2.54100165
1774352749786,2171.23,2171.24,36.836,1.674,2171.2349999999997,0.009999999999763531,2171.38,2.54100165
1774352759808,2170.26,2170.27,11.834,1.674,2170.2650000000003,0.009999999999763531,2171.38,2.54100165
1774352769577,2170.9,2170.91,52.433,0.001,2170.9049999999997,0.009999999999763531,2170.65,0.4606915
1774352779578,2172.59,2172.8,3.58,1.674,2172.695,0.21000000000003638,2172.51,0.20420089
1774352789597,2171.91,2171.92,2.303,1.674,2171.915,0.010000000000218279,2172.21,0.00453557
1774352799585,2171.45,2171.51,13.549,1.674,2171.48,0.06000000000040018,2171.27,0.00447082
1774352809809,2171.26,2171.27,0.483,4.785,2171.2650000000003,0.009999999999763531,2171.27,0.04605599
1774352819813,2171.26,2171.27,0.497,1.674,2171.2650000000003,0.009999999999763531,2171.27,0.04605599
1774352829592,2170.21,2170.46,0.515,2.231,2170.335,0.25,2170.37,1.24402752
1774352839612,2172.36,2172.53,0.162,6.962,2172.445,0.17000000000007276,2172.05,0.69059183
1774352849610,2171.32,2171.63,0.162,8.089,2171.4750000000004,0.30999999999994543,2172.05,0.69059183
1774352859611,2171.48,2171.7,0.014,0.588,2171.59,0.2199999999997999,2172.05,0.69059183
1774352869614,2171.56,2171.57,0.028,2.763,2171.565,0.010000000000218279,2171.4,1.69557672
1774352879626,2171.18,2171.49,2.673,0.734,2171.335,0.30999999999994543,2171.38,0.09778904
1774352889635,2171.36,2171.52,2.303,3.238,2171.44,0.15999999999985448,2171.38,0.09778904
1774352899646,2172.21,2172.4,2.302,0.588,2172.3050000000003,0.19000000000005457,2172.16,0.5955594
1774352909654,2171.18,2171.19,0.523,23.559,2171.185,0.010000000000218279,2172.16,0.5955594
1774352919665,2170.99,2171.03,1.223,1.674,2171.01,0.04000000000041837,2171.18,0.0009901
1774352929669,2170.86,2171.08,0.524,1.674,2170.9700000000003,0.2199999999997999,2170.9,2.7796
1774352939671,2171.16,2171.23,0.181,1.674,2171.1949999999997,0.07000000000016371,2171.5,0.00529393
1774352949679,2170.4,2170.47,0.014,1.674,2170.435,0.06999999999970896,2170.78,0.0045381
1774352959703,2169.97,2170.06,0.014,1.674,2170.015,0.09000000000014552,2170.78,0.0045381
1774352969685,2169.65,2169.66,2.305,1.674,2169.6549999999997,0.009999999999763531,2169.7,2.30425
1774352979698,2169.65,2169.66,5.344,4.039,2169.6549999999997,0.009999999999763531,2169.7,2.30425
1774352989718,2169.63,2169.64,2.007,9.441,2169.635,0.009999999999763531,2169.7,2.30425
1774352999719,2169.6,2169.8,0.748,0.588,2169.7,0.20000000000027285,2169.7,2.30425
1774353009724,2168.75,2168.76,0.004,3.503,2168.755,0.010000000000218279,2169.7,2.30425
1774353019746,2168.75,2168.76,0.004,9.982,2168.755,0.010000000000218279,2169.7,2.30425
1774353029744,2168.75,2168.76,0.926,7.446,2168.755,0.010000000000218279,2169.7,2.30425
1774353039754,2168.75,2168.76,1.073,6.895,2168.755,0.010000000000218279,2168.75,0.04259024
1774353049758,2168.75,2168.76,1.073,14.016,2168.755,0.010000000000218279,2168.75,0.04259024
1774353059774,2168.91,2168.92,0.983,11.592,2168.915,0.010000000000218279,2168.76,2.15440616
1774353069774,2168.77,2168.78,0.513,8.242,2168.775,0.010000000000218279,2168.77,0.01342135
1774353079761,2168.75,2168.76,1.073,1.277,2168.755,0.010000000000218279,2168.77,0.01342135
1774353089792,2168.75,2168.78,1.048,8.243,2168.7650000000003,0.03000000000020009,2168.75,0.02475683
1774353099796,2168.75,2168.76,0.932,8.989,2168.755,0.010000000000218279,2168.75,0.1139168
1774353109786,2168.75,2168.76,0.932,49.162,2168.755,0.010000000000218279,2168.75,0.1941981
1774353119792,2167.7,2167.87,0.562,0.588,2167.785,0.17000000000007276,2167.45,0.00184455
1774353129791,2167.11,2167.19,1.875,1.674,2167.15,0.07999999999992724,2167.09,0.01572738
1774353139812,2165.63,2166.08,1.754,0.734,2165.855,0.4499999999998181,2166.07,2.0
1774353149812,2164.95,2164.96,0.009,3.496,2164.955,0.010000000000218279,2165.12,0.63067934
1774353159831,2166.21,2166.3,0.36,0.508,2166.255,0.09000000000014552,2165.12,0.63067934
1774353170134,2166.59,2166.6,2.0,1.304,2166.5950000000003,0.009999999999763531,2166.92,0.00169081
1774353179842,2164.95,2164.96,0.009,9.93,2164.955,0.010000000000218279,2164.96,0.01
1774353189849,2163.05,2163.49,1.26,18.472,2163.27,0.4399999999995998,2162.84,0.51459847
1774353199850,2162.45,2162.53,18.485,1.674,2162.49,0.08000000000038199,2162.84,0.51459847
1774353209870,2162.43,2162.44,10.234,8.31,2162.435,0.010000000000218279,2161.42,0.02596957
1774353219862,2160.69,2160.7,2.0,1.674,2160.6949999999997,0.009999999999763531,2161.0,0.1
1774353229876,2160.96,2160.97,47.521,1.278,2160.965,0.009999999999763531,2160.53,0.04373833
1774353239872,2160.28,2160.29,29.678,0.002,2160.285,0.009999999999763531,2160.53,0.04373833
1774353249870,2160.78,2160.79,10.738,3.0,2160.785,0.009999999999763531,2160.53,0.04373833
1774353259894,2162.18,2162.19,49.428,3.002,2162.185,0.010000000000218279,2160.53,0.04373833
1774353269889,2163.0,2163.01,0.001,9.602,2163.005,0.010000000000218279,2160.53,0.04373833
1774353279894,2163.02,2163.03,13.663,0.002,2163.025,0.010000000000218279,2163.14,0.00072577
1774353289926,2163.01,2163.02,36.943,1.674,2163.0150000000003,0.009999999999763531,2163.0,0.00092032
1774353299912,2163.19,2163.3,0.559,1.674,2163.245,0.11000000000012733,2163.65,0.00554785
1774353309924,2163.66,2163.67,20.365,0.06,2163.665,0.010000000000218279,2163.47,1.25841715
1774353320704,2163.66,2163.67,59.828,0.057,2163.665,0.010000000000218279,2163.67,0.00344918
1774353329933,2162.9,2162.91,29.72,1.86,2162.9049999999997,0.009999999999763531,2163.67,0.00344918
1774353339951,2162.77,2162.78,2.457,1.277,2162.775,0.010000000000218279,2163.67,0.00344918
1774353349956,2163.02,2163.15,29.653,1.86,2163.085,0.13000000000010914,2163.02,0.04621926
1774353359976,2163.02,2163.03,24.797,1.86,2163.025,0.010000000000218279,2163.02,5.14357543
1774353369974,2163.44,2163.45,29.562,1.86,2163.4449999999997,0.009999999999763531,2163.02,5.14357543
1774353379982,2163.66,2163.67,88.925,0.057,2163.665,0.010000000000218279,2163.02,5.14357543
1774353389978,2163.66,2163.67,44.344,0.057,2163.665,0.010000000000218279,2163.02,5.14357543
1774353399984,2164.63,2164.64,48.737,4.241,2164.635,0.009999999999763531,2163.67,0.0563999
1774353409988,2164.45,2164.46,30.383,3.891,2164.455,0.010000000000218279,2164.45,0.10508
1774353420005,2164.88,2164.89,0.028,1.277,2164.885,0.009999999999763531,2164.98,0.04671248
1774353430001,2164.42,2164.43,12.035,1.277,2164.425,0.009999999999763531,2164.69,0.00068586
1774353440018,2164.5,2164.91,3.091,1.29,2164.705,0.4099999999998545,2164.69,0.00068586
